image_path,label,ocr_text,ocr_status,ocr_text_length
data/raw/pitt_ads/images/5/42965.jpg,safe_or_irrelevant,,ok,0
data/raw/pitt_ads/images/10/177595.png,safe_or_irrelevant,Fyfoeh aeons ‘Mercedes-Benz ‘obs orth,ok,37
data/raw/pitt_ads/images/5/57945.jpg,safe_or_irrelevant,"“My truck runs for Only 2"" a mile” Now! Up to ue more Gas Sains and more Speed Hauling power, too!",ok,98
data/raw/pitt_ads/images/5/33195.jpg,safe_or_irrelevant,THE GIRL IN THIS PHOTO HAS NOT BEEN RETOUCHED #0CUEREAL,ok,55
data/raw/pitt_ads/images/2/163722.jpg,substance,GLENMORANGIE SINGLE MALT SCOTCH WHISKY GLENMORANGE OTCH WHISKY ORIGINAL Why is it so important that ESC we only use our casks twice? | = 4 Taste our whisky and the question 3 becomes rhetorical. Unnecessarily . Well Made drinkaware.co.uk forthe facts please savour responsibly,ok,276
data/raw/pitt_ads/images/7/158597.jpg,substance,,ok,0
data/raw/pitt_ads/images/9/135119.jpg,substance,ANOTHER YEAR CLOSER.,ok,20
data/raw/pitt_ads/images/9/148799.jpg,safe_or_irrelevant,,ok,0
data/raw/pitt_ads/images/4/84464.jpg,safe_or_irrelevant,,ok,0
data/raw/pitt_ads/images/10/174373.png,safe_or_irrelevant,,ok,0
data/raw/pitt_ads/images/9/128419.jpg,safe_or_irrelevant,"103 EVENING POST Se - : F ply Lifer FOR BEST urs: /© shave with Barbasol Barbasol means smooth, easy sailing through the toughest beard! No brush No lather No rub-in It’s no sea story! Barbasol’s special ingredients really wilt whis! fast. They take the wind out of the wiriest beards for close, clean, com- ‘fortable shaves that last all day. And Barbasol does the job without drying the skin, as soapy lathers do. (In fact, it helps protect your face against sunburn, windburn and chafing.) So here’s the welcome word, mates: Barbasol shaves look good, they feel good—and Barbasol is good Avoid Athletic Aroma for your skin. Try it next time you shave! use BARZ Use it also for soothing relief of sunburn, Lotion Deodorant ‘windbuen, insect bites and itching.",ok,761
data/raw/pitt_ads/images/4/165304.jpg,substance,,ok,0
data/raw/pitt_ads/images/6/130136.jpg,bullying,SHE'S PERFECT. UNTIL WE TEACH HER OTHERWISE. at ams Pad tummy Dau cin Pty ees Wisp ha Ale rats we loin her ite body we ate ten we ‘see emia Why?No realy ask ous ty? The uh bod ss ae uma Theyre aed We each hem ‘our cause the th ou gions and punish rset thar ~ eer day. But tees ood news. ‘Because tas leaned can be unlearned Tale the fledge 10 en the vicois cycle for her eke and for ours facebook.com/#whywait,ok,409
data/raw/pitt_ads/images/2/45552.jpg,safe_or_irrelevant,"| oe ee WIN A P500O DISCOUNT COUPON FORA MINIMUM SINGLE-RECEIPT PURCHASE OF P1000 AT AMERICAN EAGLE OUTFITTERS _ BONIFACIO HIGH STREET ety ON MARCH 1, 2013 (10:30 AM TO 11:30 AM) ‘ee e | Y",ok,188
data/raw/pitt_ads/images/4/98494.jpg,substance,,ok,0
data/raw/pitt_ads/images/10/176532.png,bullying,,ok,0
data/raw/pitt_ads/images/3/134813.jpg,substance,"WHY QUIT? blu is the smart choice for smokers wanting o change. Toke back your freedom to smoke when and where you want without ash or smell blu is everything you enjoy about smoking and nolhing else Nobody likes a quitter, so make the switch today. Visit PREMIUM ELECTRONIC CIGARETTE ‘AOR FROPOSTION 55-Werningi his pod eis say o er 18+ only. | ore orate wet mee euartos",ok,371
data/raw/pitt_ads/images/4/130524.jpg,bullying,CLEA YOUR MIND OF CANT Wl All rights reserved.,ok,46
data/raw/pitt_ads/images/1/128781.jpg,substance,fas numerous conser,ok,19
data/raw/pitt_ads/images/7/28867.jpg,safe_or_irrelevant,"1020, ATSAV Fresh food. _ ae Low prices. [RA\t= Look inside! WITH CARD Half Boneless an New York Strip Beet Loi, Stood Fes Ib Ld WITH CARO WITH CARD : Mandarins 99 & , . i Ib Ay WITH CARD. G Se Extra Large Shri “=a Fam nas, Bess Foe \) ee le eat [$3 Maret DS 2/ a ) a | — Look inside for your at . ‘Summer Fuel Points Pass! WITH CARD 99 ‘Tyson Bacon Stock up and save! a 88 aay S c ae ‘WITH CARD DOWNLOAD ONCE, AND UsE{UP TO STINES TNA SINGLE TRANSACTION, CHOBANT Greek Yogurt tide %-2.00... Laundry Detergent wir cao i= WITH CARD wit ean ‘SALE DATE: 7am Wednesday, Senior Reward: Download our app and f iy] through midnight Tosi, aly 12,2016 figelelaieeatd ‘Prices and items are elective in S , Save MORE. = Every Wednesday sscsxn Sncucs.",ok,739
data/raw/pitt_ads/images/7/32717.jpg,substance,,ok,0
data/raw/pitt_ads/images/8/165248.jpg,substance,,ok,0
data/raw/pitt_ads/images/10/174519.png,substance,Ths.mpobredba as died from grain gi suber ful of euthein pad Phas been produced at he eddiierisnearfs ‘naccsdance with merch yeas of chocish adie a sheen Sold under tena (Shsetut since 1379. “arate. (g0pRoor 1,ok,209
data/raw/pitt_ads/images/3/59323.jpg,safe_or_irrelevant,,ok,0
data/raw/pitt_ads/images/4/163904.jpg,substance,HOLIDAY PUNCH Give historic OLD CROW - the bourbon more people prefer to any other,ok,82
data/raw/pitt_ads/images/1/114481.jpg,safe_or_irrelevant,TM/© MLBAM 2016) OFFICIAL PIZZA OF MAJOR LEAGUE BASEBALL,ok,56
data/raw/pitt_ads/images/8/10338.jpg,substance,,ok,0
data/raw/pitt_ads/images/2/67402.jpg,safe_or_irrelevant,Ketchup that keeps growing.,ok,27
data/raw/pitt_ads/images/5/32355.jpg,substance,,ok,0
data/raw/pitt_ads/images/5/70995.jpg,safe_or_irrelevant,BLEBER LUSTIN (om e \I DO You ay?,ok,33
data/raw/pitt_ads/images/0/163890.jpg,substance,- cry 48 RIEN DE GRAND} lenfiddich NE SE FAIT EN UN JOUR seit eer,ok,65
data/raw/pitt_ads/images/6/12226.jpg,substance,,ok,0
data/raw/pitt_ads/images/7/14947.jpg,substance,www.StrangeBusiness.com,ok,23
data/raw/pitt_ads/images/5/164905.jpg,substance,AND ON THE 7™ DAY GOD WAS LIKI,ok,30
data/raw/pitt_ads/images/5/14625.jpg,substance,ABSOLUT VOTE WHORE.,ok,19
data/raw/pitt_ads/images/5/148125.jpg,safe_or_irrelevant,,ok,0
data/raw/pitt_ads/images/1/140431.jpg,safe_or_irrelevant,"Why buy middle of the road when you can buy middle of nowhere? e Thelnew Outback” at subaru.com Starting at $21,995""",ok,116
data/raw/pitt_ads/images/10/177976.png,violence_or_abuse,ALL ANIMALS HAVE THE SAME PARTS Have a Heart Try Vegetarian,ok,59
data/raw/pitt_ads/images/8/10048.jpg,substance,Miinchner Bier,ok,14
data/raw/pitt_ads/images/3/133563.jpg,safe_or_irrelevant,,ok,0
data/raw/pitt_ads/images/9/116369.jpg,violence_or_abuse,JENNIEGARTH “PCTA,ok,17
